time(s),Area (M^2),"Cloud depth, m","Particle field density, kg/cu m",MER ash particles (kg/s),Cum. mass ash (kg),cloudtype
0.0,521.0,3384.986880000002,0.1128954737854568,0.0,0.0,2.0
3000.0,3874.0,4887.986160000002,0.15722304756331668,43034181.7388849,129102545216.65471,2.0
3600.0,4182.0,4887.986160000002,0.15722304756331668,12509703.962799447,136608367594.33438,2.0
4200.0,4648.0,4887.986160000002,0.15722304756331668,16765952.007987656,146667938799.12698,2.0
4800.0,5093.0,4887.986160000002,0.15722304756331668,14574325.791398266,155412534273.96594,2.0
5400.0,5638.0,4887.986160000002,0.15722304756331668,16530146.746317392,165330622321.75638,2.0
7200.0,7137.0,4887.986160000002,0.15722304756331668,13379731.677865025,189414139341.91342,2.0
8400.0,8551.0,5700.003840000003,0.18161126574000194,22252158.46465048,216116729499.494,1.0
9600.0,13401.0,3384.986880000002,0.1128954737854568,49890947.06900294,275985865982.2975,1.0
10200.0,13879.0,3154.0094400000016,0.10767389597988242,9644211.148029149,281772392671.115,1.0
11400.0,14493.0,2467.9960800000026,0.0855410709786863,4297305.669215985,286929159474.1742,1.0
12000.0,14305.0,2467.9960800000026,0.0855410709786863,0.0,0.0,1.0
